,close
19991025,55200
19991022,56900
19991021,57000
19991020,59400
19991019,57400
19991018,58100
19991015,60400
19991014,59600
19991013,59900
19991012,60400
19991011,59000
19991008,59900
19991007,60900
19991006,60500
19991005,58400
19991004,61000
19991001,65000
19990930,62000
19990929,63000
19990928,64400
19990927,64100
19990922,66800
19990921,67000
19990920,67000
19990917,65000
19990916,63700
19990915,63500
19990914,62800
19990913,62700
19990910,61200
19990909,62400
19990908,63300
19990907,62500
19990906,62500
19990903,61500
19990902,61500
19990901,62100
19990831,62000
19990830,62800
19990827,61100
19990826,58000
19990825,57500
19990824,55600
19990823,55600
19990820,54600
19990819,51500
19990818,52000
19990817,53000
19990816,56200
19990813,57500
19990812,58500
19990811,58300
19990810,58300
19971007,14590
19971006,15028
19971004,15247
19971002,15101
19971001,15465
19970930,15830
19970929,15101
19970927,14663
19970926,14955
19970925,15392
19970924,15684
19970923,15538
19970922,15684
19970920,16341
19970919,17070
19970918,17508
19970913,17727
19970912,17873
19970911,17581
19970910,17508
19970909,17508
19970908,17873
19970906,17654
19970905,17435
19970904,17216
19970903,17654
19970902,17508
19970901,17508
19970830,18092
19970829,18238
19970828,18238
19970827,18748
19970826,18748
19970825,18748
19970823,19040
19970822,18967
19970821,19040
19970820,18821
19970819,19186
19970818,19405
19970816,19769
19970814,20207
19970813,20207
19970812,19842
19970811,19769
19970809,19769
19970808,19697
19970807,19988
19970806,20207
19970805,20426
19970804,19624
19970802,18967
19970801,19259
19970731,18675
19970730,18602
19970729,18383
19970728,18675
19970726,18675
19970725,18967
19970724,19551
19970723,19332
19970722,19186
19970721,19551
19970719,18967
19970718,18821
19970716,18748
19970715,18967
19970714,19113
19970712,19551
19970711,19915
19970710,20207
19970709,20426
19970708,19769
19970707,19769
19970705,18456
19970704,17946
19970703,17873
19970702,18238
19970701,18238
19970630,17800
19970628,17289
19970627,17362
19970626,17362
19970625,17289
19970624,17654
19970623,17435
19970621,17508
19970620,17946
19970619,18310
19970618,18238
19950919,23708
19950918,23833
19950916,23396
19950915,23396
19950914,22523
19950913,22523
19950912,21961
19950911,23334
19950907,23084
19950906,23084
19950905,22398
19950904,22211
19950902,22211
19950901,21837
19950831,21712
19950830,21525
19950829,21587
19950828,21837
19950826,21837
19950825,21525
19950824,21525
19950823,21837
19950822,21525
19950821,21150
19950819,20901
19950818,20963
19950817,21400
19950816,21712
19950814,21525
19950812,21837
19950811,21587
19950810,21961
19950809,22772
19950808,22398
19950807,22523
19950805,22835
19950804,23147
19950803,23646
19950802,24332
19950801,24145
19950731,24020
19950729,23521
19950728,23646
19950727,23708
19950726,24207
19950725,24332
19950724,24207
19950722,24332
19950721,24519
19950720,24956
19950719,25580
19950718,25580
19950715,25767
19950714,25767
19950713,25954
19950712,25206
19950711,24956
19950710,23583
19950708,23084
19950707,23583
19950706,22648
19950705,22273
19950704,22460
19950703,22835
19950701,22772
19950630,22585
19950629,22398
19950628,22523
19950626,22148
19950624,22273
19950623,22460
19950622,22648
19950621,22835
19950620,23022
19950619,23209
19950617,23209
19950616,22960
19950615,22960
19950614,23334
19950613,23271
19950612,23147
19950610,23209
19950609,23334
19950608,23646
19950607,23708
19950605,23895
19950603,23708
19950602,23521
19950601,22897
19950531,22648
19930904,17968
19930903,18280
19930902,18405
19930901,18093
19930831,17781
19930830,18093
19930828,18343
19930827,18218
19930826,18530
19930825,18717
19930824,19029
19930823,19341
19930821,19653
19930820,19528
19930819,19840
19930818,19154
19930817,18530
19930816,18405
19930814,17906
19930813,18530
19930812,19341
19930811,19154
19930810,19154
19930809,18904
19930807,19154
19930806,19154
19930805,19528
19930804,19341
19930803,19653
19930802,19279
19930731,19403
19930730,19653
19930729,19840
19930728,19965
19930727,19778
19930726,19528
19930724,19403
19930723,19341
19930722,19528
19930721,19965
19930720,19653
19930719,19778
19930716,20277
19930715,20214
19930714,20277
19930713,20277
19930712,20277
19930710,20464
19930709,20589
19930708,20776
19930707,20901
19930706,20838
19930705,21025
19930703,20589
19930702,20526
19930701,20651
19930630,19965
19930629,19466
19930628,19653
19930626,20090
19930625,20464
19930624,20464
19930623,20464
19930622,20713
19930621,20526
19930619,20589
19930618,20277
19930617,20589
19930616,20589
19930615,20589
19930614,20589
19930612,20589
19930611,20838
19930610,21025
19930609,21025
19930608,20776
19930607,20776
19930605,20526
19930604,20589
19930603,20776
19930602,20838
19930601,20963
19930531,20589
19930529,20901
19930527,20901
19930526,20589
19930525,20589
19930524,20963
19930522,21088
19930521,20713
19910822,20713
19910821,20277
19910820,20152
19910819,20152
19910817,20963
19910816,20713
19910814,20090
19910813,19965
19910812,19840
19910810,20339
19910809,20776
19910808,20339
19910807,20651
19910806,21400
19910805,21400
19910803,21525
19910802,21837
19910801,21961
19910731,21961
19910730,22460
19910729,22211
19910727,22148
19910726,22024
19910725,21462
19910724,21587
19910723,21525
19910722,21961
19910720,22148
19910719,21587
19910718,20776
19910716,20713
19910715,20713
19910713,20526
19910712,19965
19910711,19154
19910710,18530
19910709,18155
19910708,18405
19910706,17781
19910705,18218
19910704,18031
19910703,17968
19910702,18155
19910701,17532
19910629,16908
19910628,16721
19910627,16658
19910626,16533
19910625,16346
19910624,16346
19910622,16284
19910621,16346
19910619,16346
19910618,16409
19910617,16346
19910615,16346
19910614,16346
19910613,16159
19910612,16034
19910611,15909
19910610,15909
19910608,16221
19910607,16221
19910605,16284
19910604,16097
19910603,16533
19910601,16346
19910531,16221
19910530,16159
19910529,15909
19910528,16221
19910527,16721
19910525,16721
19910524,16721
19910523,16783
19910522,16783
19910520,16845
19910518,16970
19910517,16845
19910516,16783
19910515,16658
19910514,16908
19910513,16346
19910511,16471
19910510,16783
19910509,16783
19910508,16721
19910507,16845
19910506,17157
19910504,17157
19890728,28887
19890727,28325
19890726,28263
19890725,27264
19890724,26266
19890722,26266
19890721,26329
19890720,26391
19890719,26204
19890718,26516
19890715,25642
19890714,24831
19890713,25081
19890712,25081
19890711,24457
19890710,24457
19890708,24956
19890707,25206
19890706,24394
19890705,24706
19890704,25268
19890703,25518
19890701,24894
19890630,24956
19890629,25143
19890628,25206
19890627,25268
19890626,25268
19890624,25268
19890623,25580
19890622,25580
19890621,26204
19890620,26204
19890619,25892
19890617,25892
19890616,26204
19890615,26765
19890614,26391
19890613,25518
19890612,25143
19890610,24332
19890609,24457
19890608,24519
19890607,24956
19890605,25206
19890603,25268
19890602,25268
19890601,25330
19890531,25580
19890530,25268
19890529,25268
19890527,25143
19890526,24956
19890525,25268
19890524,25018
19890523,25268
19890522,25393
19890520,25705
19890519,25642
19890518,25767
19890517,26017
19890516,25642
19890515,25642
19890513,25892
19890511,26204
19890510,26204
19890509,26204
19890508,26017
19890506,26017
19890504,25954
19890503,25892
19890502,26079
19890501,26079
19890429,25892
19890428,26204
19890427,26516
19890426,26079
19890425,26266
19890424,26828
19890422,27140
19890421,27140
19890420,27764
19890419,27452
19890418,27452
19890417,27639
19890415,26828
19890414,27140
19890413,26828
19890412,26890
19890411,27452
19870706,31257
19870704,31257
19870703,31158
19870702,31070
19870701,31195
19870630,31195
19870629,30571
19870627,29635
19870626,29261
19870625,29261
19870624,29323
19870623,29323
19870622,29567
19870620,29573
19870619,29510
19870618,29323
19870617,29323
19870616,30197
19870615,30384
19870613,30259
19870612,30571
19870611,30259
19870610,30384
19870609,30758
19870608,31189
19870605,32131
19870604,33503
19870603,32131
19870602,32443
19870601,32443
19870530,31819
19870529,31757
19870528,31189
19870527,31757
19870526,33628
19870525,33691
19870523,33691
19870522,33691
19870521,34315
19870520,35250
19870519,35562
19870518,35500
19870516,35812
19870515,35687
19870514,35874
19870513,35874
19870512,36186
19870511,36186
19870509,36810
19870508,35562
19870507,35562
19870506,35562
19870504,35562
19870502,35562
19870501,35562
19870430,33691
19870429,33379
19870428,35250
19870427,35874
19870425,35562
19870424,35562
19870423,36124
19870422,35562
19870421,35562
19870420,35749
19870418,36186
19870417,36685
19870416,35562
19870415,34315
19870414,34315
19870413,34814
19870411,35063
19870410,35001
19870409,35562
19870408,36124
19870407,36186
19870406,38058
19870404,37434
19870403,37434
19870402,39306
19870401,39306
19870331,40554
19870330,38682
19870328,37434
19870327,38682
19870326,38058
19870325,38058
19870324,38058
19870323,37434
19870321,37122
19850621,13102
19850620,13476
19850619,13657
19850618,13788
19850617,13944
19850615,13913
19850614,14032
19850613,14038
19850612,14474
19850611,14425
19850610,14350
19850608,14113
19850607,14163
19850605,14163
19850604,14106
19850603,14256
19850601,14350
19850531,14350
19850530,14287
19850529,14319
19850528,14350
19850525,14350
19850524,14350
19850523,14256
19850522,14350
19850521,14350
19850520,13994
19850518,14100
19850517,14350
19850516,14755
19850515,14786
19850514,14849
19850513,14911
19850511,14974
19850510,14974
19850509,15036
19850508,15036
19850507,14974
19850506,14786
19850504,14836
19850503,14749
19850502,14768
19850501,14774
19850430,14786
19850429,14786
19850427,14786
19850426,14730
19850425,14724
19850424,14662
19850423,14662
19850422,14793
19850420,14786
19850419,14786
19850418,14880
19850417,14974
19850416,14974
19850415,15098
19850413,15161
19850412,15098
19850411,14980
19850410,15223
19850409,15254
19850408,15317
19850406,15473
19850404,15223
19850403,15161
19850402,15098
19850401,15105
19850330,15098
19850329,15024
19850328,15098
19850327,14849
19850326,14793
19850325,14780
19850323,14849
19850322,14855
19850321,14855
19850320,14855
19850319,14749
19850318,14749
19850316,14849
19850315,14849
19850314,14786
19850313,14662
19850312,14774
19850311,14843
19850309,14942
19850308,14961
19850307,15036
19850306,15036
